,img,bank,card_name,cashback_rate,cashback_cap,cashback_benchmark,category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
67,https://ringgitplus.com/img/card-400/58e1b9f94069a6115d57cc53/public-bank-quantum-visa.jpg,public_bank,public_bank_quantum_visa,5.0,30,from RM30 and above,contactless transaction,30.0,,False,False,False
68,https://ringgitplus.com/img/card-400/519489e2193821ed4a00011c/public-bank-visa-platinum.jpg,public_bank,public_bank_visa_platinum,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
69,https://ringgitplus.com/img/card-400/55274c2e628926785afd1870/public-bank-petron-visa-gold.jpg,public_bank,public_bank_petron_visa_gold,5.0,50,from RM801 and above monthly,fuel and non fuel spends at petron stations only,801.0,,False,True,False
70,https://ringgitplus.com/img/card-400/55274c2e628926785afd1870/public-bank-petron-visa-gold.jpg,public_bank,public_bank_petron_visa_gold,0.1,10000000000,any amount,all retail spends,0.0,,False,False,False
71,https://ringgitplus.com/img/card-400/54d9c649f951fb0066e61f4b/public-islamic-bank-visa-gold-credit-card-i.jpg,public_bank,public_islamic_bank_visa_gold_credit_card-i,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
72,https://ringgitplus.com/img/card-400/537eea2c06a589d1189a6e0c/public-bank-visa-signature.jpg,public_bank,public_bank_visa_signature,6.0,38,any amount monthly,"groceries, dining and online purchases",0.0,,False,True,False
73,https://ringgitplus.com/img/card-400/54d9a832a556ca1e2c352859/public-islamic-bank-mastercard-platinum-credit-card-i.jpg,public_bank,public_islamic_bank_mastercard_platinum_credit_card-i,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
74,https://ringgitplus.com/img/card-400/51cc0764d9d93fa811000001/public-bank-aia-visa-gold.jpg,public_bank,public_bank_aia_visa_gold,2.0,8,from RM1 and above monthly,aia insurance premiums,1.0,,False,True,False
75,https://ringgitplus.com/img/card-400/51cc0764d9d93fa811000001/public-bank-aia-visa-gold.jpg,public_bank,public_bank_aia_visa_gold,0.1,10000000000,from RM1 and above monthly,cash megabonus on local and overseas retail purchases,1.0,,False,True,False
76,https://ringgitplus.com/img/card-400/54d9e0fc6b4be6cc17227f63/public-islamic-bank-visa-platinum-credit-card-i.jpg,public_bank,public_islamic_bank_visa_platinum_credit_card-i,0.2,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
77,https://ringgitplus.com/img/card-400/54d89ae8aff7f54d6702664b/public-islamic-bank-mastercard-gold-credit-card-i.jpg,public_bank,public_islamic_bank_mastercard_gold_credit_card-i,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
78,https://ringgitplus.com/img/card-400/58e1c10e6b5269dd048aeaeb/public-bank-quantum-mastercard.jpg,public_bank,public_bank_quantum_mastercard,5.0,30,any amount,online shopping,0.0,,False,False,False
79,https://ringgitplus.com/img/card-400/519489e2193821ed4a00011a/public-bank-gold-visa.jpg,public_bank,public_bank_gold_visa,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
80,https://ringgitplus.com/img/card-400/519489e2193821ed4a000120/public-bank-visa-infinite.jpg,public_bank,public_bank_visa_infinite,0.3,80,from RM1 and above monthly,on retail purchases locally,1.0,,False,True,False
81,https://ringgitplus.com/img/card-400/519489e2193821ed4a000120/public-bank-visa-infinite.jpg,public_bank,public_bank_visa_infinite,2.0,80,from RM1 and above monthly,on retail purchase overseas,1.0,,False,True,False
82,https://ringgitplus.com/img/card-400/519489e2193821ed4a000119/public-bank-gold-mastercard.jpg,public_bank,public_bank_gold_mastercard,0.1,10000000000,from RM1 and above monthly,on retail purchases locally and overseas,1.0,,False,True,False
83,https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,0.2,10,from RM1 up to RM999 monthly,online food and grocery delivery,1.0,999.0,False,True,False
84,https://ringgitplus.com/img/card-400/5bd7cfde3d6823080f31967c/rhb-cash-back-visa-credit-card.jpg,rhb,rhb_cash_back_visa_credit_card,0.2,10,from RM1 up to RM999 monthly,"petrol, dining, utility and grocery",1.0,999.0,False,True,False
