,img,bank,card_name,point,category,each_spending
177,https://ringgitplus.com/img/card-400/5d9f04504945eeac7b690d89/rhb-rewards-motion-code-credit-card.jpg,rhb,rhb_rewards_motion_code_credit_card,10.0,movie tickets,1
178,https://ringgitplus.com/img/card-400/5d9f04504945eeac7b690d89/rhb-rewards-motion-code-credit-card.jpg,rhb,rhb_rewards_motion_code_credit_card,4.0,overseas spend,1
179,https://ringgitplus.com/img/card-400/5d9f04504945eeac7b690d89/rhb-rewards-motion-code-credit-card.jpg,rhb,rhb_rewards_motion_code_credit_card,3.0,online & e-wallet transaction,1
180,https://ringgitplus.com/img/card-400/5d9f04504945eeac7b690d89/rhb-rewards-motion-code-credit-card.jpg,rhb,rhb_rewards_motion_code_credit_card,2.0,retail shopping,1
181,https://ringgitplus.com/img/card-400/5d9f04504945eeac7b690d89/rhb-rewards-motion-code-credit-card.jpg,rhb,rhb_rewards_motion_code_credit_card,1.0,other retail spends,1
182,https://ringgitplus.com/img/card-400/5bd7e773fea5d39b106cd0a7/rhb-rewards-visa-credit-card.jpg,rhb,rhb_rewards_visa_credit_card,10.0,movie tickets,1
183,https://ringgitplus.com/img/card-400/5bd7e773fea5d39b106cd0a7/rhb-rewards-visa-credit-card.jpg,rhb,rhb_rewards_visa_credit_card,4.0,overseas spend,1
184,https://ringgitplus.com/img/card-400/5bd7e773fea5d39b106cd0a7/rhb-rewards-visa-credit-card.jpg,rhb,rhb_rewards_visa_credit_card,3.0,online & e-wallet transaction,1
185,https://ringgitplus.com/img/card-400/5bd7e773fea5d39b106cd0a7/rhb-rewards-visa-credit-card.jpg,rhb,rhb_rewards_visa_credit_card,2.0,retail shopping,1
186,https://ringgitplus.com/img/card-400/5bd7e773fea5d39b106cd0a7/rhb-rewards-visa-credit-card.jpg,rhb,rhb_rewards_visa_credit_card,1.0,other retail spends,1
187,https://ringgitplus.com/img/card-400/5bd82a4bfea5d39b106cd0b1/rhb-rewards-mastercard-credit-card.jpg,rhb,rhb_rewards_mastercard_credit_card,10.0,movie tickets,1
188,https://ringgitplus.com/img/card-400/5bd82a4bfea5d39b106cd0b1/rhb-rewards-mastercard-credit-card.jpg,rhb,rhb_rewards_mastercard_credit_card,4.0,overseas spend,1
189,https://ringgitplus.com/img/card-400/5bd82a4bfea5d39b106cd0b1/rhb-rewards-mastercard-credit-card.jpg,rhb,rhb_rewards_mastercard_credit_card,3.0,online & e-wallet transaction,1
190,https://ringgitplus.com/img/card-400/5bd82a4bfea5d39b106cd0b1/rhb-rewards-mastercard-credit-card.jpg,rhb,rhb_rewards_mastercard_credit_card,2.0,retail shopping,1
191,https://ringgitplus.com/img/card-400/5bd82a4bfea5d39b106cd0b1/rhb-rewards-mastercard-credit-card.jpg,rhb,rhb_rewards_mastercard_credit_card,1.0,other retail spends,1
192,https://ringgitplus.com/img/card-400/53a16876bf33a92c17deb1f3/myeg-rhb-credit-card.jpg,rhb,myeg-rhb_credit_card,5.0,on myeg services,1
193,https://ringgitplus.com/img/card-400/53a16876bf33a92c17deb1f3/myeg-rhb-credit-card.jpg,rhb,myeg-rhb_credit_card,1.0,on online and retail transactions,1
194,https://ringgitplus.com/img/card-400/519489e2193821ed4a00012c/rhb-visa-infinite.jpg,rhb,rhb_visa_infinite,5.0,on all overseas retail spends,1
195,https://ringgitplus.com/img/card-400/519489e2193821ed4a00012c/rhb-visa-infinite.jpg,rhb,rhb_visa_infinite,1.0,on all local retail spends,1
196,https://ringgitplus.com/img/card-400/5bd8358efea5d39b106cd0b5/rhb-islamic-rewards-credit-card-i.jpg,rhb,rhb_islamic_rewards_credit_card-i,10.0,movie tickets,1
197,https://ringgitplus.com/img/card-400/5bd8358efea5d39b106cd0b5/rhb-islamic-rewards-credit-card-i.jpg,rhb,rhb_islamic_rewards_credit_card-i,4.0,overseas spend,1
198,https://ringgitplus.com/img/card-400/5bd8358efea5d39b106cd0b5/rhb-islamic-rewards-credit-card-i.jpg,rhb,rhb_islamic_rewards_credit_card-i,3.0,online & e-wallet transaction,1
199,https://ringgitplus.com/img/card-400/5bd8358efea5d39b106cd0b5/rhb-islamic-rewards-credit-card-i.jpg,rhb,rhb_islamic_rewards_credit_card-i,2.0,retail shopping,1
200,https://ringgitplus.com/img/card-400/5bd8358efea5d39b106cd0b5/rhb-islamic-rewards-credit-card-i.jpg,rhb,rhb_islamic_rewards_credit_card-i,1.0,other retail spends,1
201,https://ringgitplus.com/img/card-400/5d9f218b4945eeac7b690d9c/rhb-islamic-rewards-motion-code-credit-card-i.jpg,rhb,rhb_islamic_rewards_motion_code_credit_card-i,10.0,movie tickets,1
202,https://ringgitplus.com/img/card-400/5d9f218b4945eeac7b690d9c/rhb-islamic-rewards-motion-code-credit-card-i.jpg,rhb,rhb_islamic_rewards_motion_code_credit_card-i,4.0,overseas spend,1
203,https://ringgitplus.com/img/card-400/5d9f218b4945eeac7b690d9c/rhb-islamic-rewards-motion-code-credit-card-i.jpg,rhb,rhb_islamic_rewards_motion_code_credit_card-i,3.0,online & e-wallet transaction,1
204,https://ringgitplus.com/img/card-400/5d9f218b4945eeac7b690d9c/rhb-islamic-rewards-motion-code-credit-card-i.jpg,rhb,rhb_islamic_rewards_motion_code_credit_card-i,2.0,retail shopping,1
205,https://ringgitplus.com/img/card-400/5d9f218b4945eeac7b690d9c/rhb-islamic-rewards-motion-code-credit-card-i.jpg,rhb,rhb_islamic_rewards_motion_code_credit_card-i,1.0,other retail spends,1
206,https://ringgitplus.com/img/card-400/5e2a75455d3abe251beeba9b/rhb-tokyo-2020-limited-edition-visa-rewards-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_rewards_credit_card,10.0,movie tickets,1
207,https://ringgitplus.com/img/card-400/5e2a75455d3abe251beeba9b/rhb-tokyo-2020-limited-edition-visa-rewards-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_rewards_credit_card,4.0,overseas spend,1
208,https://ringgitplus.com/img/card-400/5e2a75455d3abe251beeba9b/rhb-tokyo-2020-limited-edition-visa-rewards-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_rewards_credit_card,3.0,online & e-wallet transaction,1
209,https://ringgitplus.com/img/card-400/5e2a75455d3abe251beeba9b/rhb-tokyo-2020-limited-edition-visa-rewards-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_rewards_credit_card,2.0,retail shopping,1
210,https://ringgitplus.com/img/card-400/5e2a75455d3abe251beeba9b/rhb-tokyo-2020-limited-edition-visa-rewards-credit-card.jpg,rhb,rhb_tokyo_2020_limited_edition_visa_rewards_credit_card,1.0,other retail spends,1
211,https://ringgitplus.com/img/card-400/519489e2193821ed4a000145/standard-chartered-visa-platinum.jpg,standard_chartered,standard_chartered_visa_platinum,5.0,overseas retail transactions,1
212,https://ringgitplus.com/img/card-400/519489e2193821ed4a000145/standard-chartered-visa-platinum.jpg,standard_chartered,standard_chartered_visa_platinum,1.0,"others (such as groceries, petrol, pharmacy)",1
213,https://ringgitplus.com/img/card-400/519489e2193821ed4a000147/standard-chartered-worldmiles-world-mastercard.jpg,standard_chartered,standard_chartered_worldmiles_world_mastercard,1.0,on local expenses,3
214,https://ringgitplus.com/img/card-400/519489e2193821ed4a000147/standard-chartered-worldmiles-world-mastercard.jpg,standard_chartered,standard_chartered_worldmiles_world_mastercard,4.5,on overseas expenses,3
215,https://ringgitplus.com/img/card-400/5afe8d28138a1002029084de/standard-chartered-platinum-mastercard-basic.jpg,standard_chartered,standard_chartered_platinum_mastercard_basic,1.0,all transactions,1
216,https://ringgitplus.com/img/card-400/55e038d376092cc9694d446f/uob-prvi-miles-card.jpg,uob,uob_prvi_miles_card,10.0,on online reservations with booking.com,1
217,https://ringgitplus.com/img/card-400/55e038d376092cc9694d446f/uob-prvi-miles-card.jpg,uob,uob_prvi_miles_card,5.0,"overseas, airlines, hotels, travel agencies",1
218,https://ringgitplus.com/img/card-400/55e038d376092cc9694d446f/uob-prvi-miles-card.jpg,uob,uob_prvi_miles_card,1.0,on local retail spends,1
219,https://ringgitplus.com/img/card-400/55532e4dd75c88f321f53b7b/uob-preferred-platinum-mastercard.jpg,uob,uob_preferred_platinum_mastercard,3.0,on recurring payments,1
220,https://ringgitplus.com/img/card-400/55532e4dd75c88f321f53b7b/uob-preferred-platinum-mastercard.jpg,uob,uob_preferred_platinum_mastercard,1.0,on any spends,1
221,https://ringgitplus.com/img/card-400/519489e2193821ed4a000153/uob-visa-infinite.jpg,uob,uob_visa_infinite,8.0,"on overseas purchases paid in singapore dollar, thai baht, and japanese yen",1
222,https://ringgitplus.com/img/card-400/519489e2193821ed4a000153/uob-visa-infinite.jpg,uob,uob_visa_infinite,5.0,on overseas purchases paid in other foreign currencies,1
223,https://ringgitplus.com/img/card-400/519489e2193821ed4a000153/uob-visa-infinite.jpg,uob,uob_visa_infinite,1.0,"all other local retail spends (excluding cash advance, ipp, petrol, payment to government bodies and charity organizations)",1
